2971111;CÁLCULO I;1
2971112;FUNDAMENTOS DE PROGRAMACIÓN;1
2971113;FUNDAMENTOS DEL SOFTWARE;1
2971114;FUNDAMENTOS FÍSICOS Y TECNOLÓGICOS;1
2971115;GEOMETRÍA I;1
2971116;LÓGICA Y MÉTODOS DISCRETOS;1
2971117;CÁLCULO II;2
2971118;GEOMETRÍA II;2
2971119;ESTADÍSTICA DESCRIPTIVA E INTRODUCCIÓN A LA PROBABILIDAD;2
297111A;METODOLOGÍA DE LA PROGRAMACIÓN;2
297111B;MÉTODOS NUMÉRICOS;2
297111C;TECNOLOGÍA Y ORGANIZACIÓN DE COMPUTADORES;2
2971121;ÁLGEBRA I;1
2971122;ANÁLISIS MATEMÁTICO I;1
2971123;ESTRUCTURAS DE COMPUTADORES;1
2971124;ESTRUCTURA DE DATOS;1
2971125;SISTEMAS OPERATIVOS;1
2971126;TOPOLOGÍA I;1
2971127;ALGORÍTMICA ;2
2971128;ANÁLISIS MATEMÁTICO II;2
2971129;ARQUITECTURA DE COMPUTADORES;2
297112A;GEOMETRÍA III;2
297112B;MODELOS MATEMÁTICOS I;2
297112C;PROGRAMACIÓN Y DISEÑO ORIENTADO A OBJETOS;2
2211111;ANÁLISIS MATEMÁTICO;1
2211112;ÁLGEBRA LINEAL Y GEOMETRÍA;1
2211113;ANÁLISIS DE CIRCUITOS;1
2211114;FUNDAMENTOS DE INFORMÁTICA;1
2211115;INGENIERÍA, EMPRESA Y SOCIEDAD;1
2211116;ECUACIONES DIFERENCIALES Y CÁLCULO NUMÉRICO;2
2211117;ESTADÍSTICA Y OPTIMIZACIÓN;2
2211118;COMPONENTES Y CIRCUITOS ELECTRÓNICOS;2
2211119;SISTEMAS LINEALES;2
221111A;FUNDAMENTOS FÍSICOS DE LA INGENIERÍA;2
2211121;TEORÍA DE LA COMUNICACIÓN;1
2211122;TRANSMISIÓN DE ONDAS;1
2211123;SISTEMAS TELEMÁTICOS;1
2211124;FUNDAMENTOS DE PROGRAMACIÓN;1
2211126;COMUNICACIONES I;2
2211127;SEÑALES DIGITALES;2
2211128;ELECTRÓNICA DIGITAL;2
2211129;ELECTRÓNICA ANALÓGICA;2
221112A;INFRAESTRUCTURA Y REDES DE COMUNICACIÓN;2
2211131;COMUNICACIONES II;1
2211132;ELECTRÓNICA DE POTENCIA;1
2211133;SISTEMAS ELECTRÓNICOS DIGITALES;1
2211134;TRANSMISIÓN DE DATOS Y REDES DE COMPUTADORES;1
2211135;SISTEMAS DE CONMUTACIÓN;1
2211136;TRATAMIENTO DIGITAL DE SEÑALES;2
2211137;SISTEMAS DE CODIFICACIÓN Y ALMACENAMIENTO;2
2211138;MEDIOS Y COMPONENTES ÓPTICOS PARA COMUNICACIONES;2
2211139;ANTENAS Y PROPAGACIÓN;2
221113A;SISTEMAS DE RADIOCOMUNICACIÓN;2
221113B;DESARROLLO DE APLICACIONES EN RED;2
221113C;SEGURIDAD EN REDES DE COMUNICACIÓN;2
221113D;COMPLEMENTOS DE PROGRAMACIÓN;2
221113E;REDES INALÁMBRICAS Y MOVILIDAD;2
221113F;GESTIÓN DE REDES;2
221113G;CIRCUITOS ELECTRÓNICOS PARA RADIOFRECUENCIA;2
221113H;ESEECTRÓNICA DE MICROONDAS;2
221113I;INSTRUMENTACIÓN ELECTRÓNICA;2
221113J;DISEÑO DE CIRCUITOS Y SISTEMAS ELECTRÓNICOS;2
221113K;SISTEMAS DE ALIMENTACIÓN;2
2961111;ALGEBRA LINEAL Y ESTRUCTURAS MATEMÁTICAS;1
2961112;CÁLCULO;1
2961113;FUNDAMENTOS FÍSICOS Y TECNOLÓGICOS;1
2961114;FUNDAMENTOS DEL SOFTWARE;1
2961115;FUNDAMENTOS DE PROGRAMACIÓN;1
2961116;LÓGICA Y MÉTODOS DISCRETOS;2
2961117;TECNOLOGÍA Y ORGANIZACIÓN DE COMPUTADORES;2
2961118;METODOLOGÍA DE LA PROGRAMACIÓN;2
2961119;INGENIERÍA, EMPRESA Y SOCIEDAD;2
296111A;ESTADÍSTICA;2
2961121;PROGRAMACIÓN Y DISEÑO ORIENTADO A OBJETOS;1
2961122;ESTRUCTURA DE DATOS;1
2961123;SISTEMAS OPERATIVOS;1
2961124;SISTEMAS CONCURRENTES Y DISTRIBUIDOS;1
2961125;ESTRUCTURAS DE COMPUTADORES;1
2961126;ALGORÍTMICA;2
2961127;FUNDAMENTOS DE INGENIERÍA DEL SOFTWARE;2
2961128;FUNDAMENTOS DE BASES DE DATOS;2
2961129;INTELIGENCIA ARTIFICIAL;2
296112A;ARQUITECTURA DE COMPUTADORES;2
2961131;MODELOS DE COMPUTACIÓN;1
2961132;DISEÑO Y DESARROLLO DE SISTEMAS DE INFORMACIÓN;1
2961133;INFORMÁTICA GRÁFICA;1
2961134;FUNDAMENTOS DE REDES;1
2961135;INGENIERÍA DE SERVIDORES;1
296113A;INGENIERÍA DEL CONOCIMIENTO;2
296113B;TÉCNICAS DE LOS SISTEMAS INTELIGENTES;2
296113C;APRENDIZAJE AUTOMÁTICO;2
296113D;MODELOS AVANZADOS DE COMPUTACIÓN;2
296113E;METAHEURÍSTICAS;2
296113F;DESARROLLO DE SOFTWARE;2
296113G;DIRECCIÓN Y GESTIÓN DE PROYECTOS;2
296113H;SISTEMAS GRÁFICOS;2
296113I;DESARROLLO DE SISTEMAS DISTRIBUIDOS;2
296113J;SISTEMAS DE INFORMACIÓN BASADOS EN WEB;2
296113K;ARQUITECTURA DE SISTEMAS;2
296113L;ARQUITECTURA Y COMPUTACIÓN DE ALTAS PRESTACIONES;2
296113M;DISEÑO DE SISTEMAS ELECTRÓNICOS;2
296113N;DESARROLLO DE HARDWARE DIGITAL;2
296113P;SISTEMAS CON MICROPROCESADORES;2
296113Q;PROGRAMACIÓN WEB;2
296113R;SISTEMAS DE INFORMACIÓN PARA EMPRESAS;2
296113S;INGENIERÍA DE SISTEMAS DE INFORMACIÓN;2
296113T;ADMINISTRACIÓN DE BASES DE DATOS;2
296113U;SISTEMAS MULTIDIMENSIONALES;2
296113V;SISTEMAS MULTIMEDIA;2
296113W;COMPUTACIÓN UBICUA E INTELIGENCIA AMBIENTAL;2
296113X;TECNOLOGÍAS WEB;2
296113Y;SERVIDORES WEB DE ALTAS PRESTACIONES;2
296113Z;TRANSMISIÓN DE DATOS Y REDES DE COMPUTADORES;2
1951111;ESTADÍSTICA;2
1951112;ESTRUCTURAS DE DATOS;2
1951114;TECNOLOGÍA DE LOS COMPUTADORES;2
1951115;ÁLGEBRA Y ESTRUCTURAS DISCRETAS;1
1951116;ANÁLISIS MATEMÁTICO;1
1951118;METODOLOGÍA DE LA PROGRAMACIÓN I;1
195111A;FUNDAMENTOS LÓGICOS DE LA PROGRAMACIÓN;2
195111B;INTRODUCCIÓN A LOS COMPUTADORES;1
195111C;MATEMÁTICA DISCRETA;1
195111D;METODOLOGÍA DE LA PROGRAMACIÓN II;2
195111F;FUNDAMENTOS TECNOLÓGICOS DE LOS COMPUTADORES;1
1951117;CÁLCULO NUMÉRICO;2
1951121;BASES DE DATOS;1
1951122;ESTRUCTURA DE LOS COMPUTADORES;1
1951123;INGENIERÍA DEL SOFTWARE I;1
1951124;INGENIERÍA DEL SOFTWARE II;2
1951125;TEORÍA DE ALGORÍTMOS;1
1951126;SISTEMAS OPERATIVOS I;1
1951127;MODELOS DE COMPUTACIÓN;2
1951128;PROGRAMACIÓN DE BASES DE DATOS;2
195112A;SISTEMAS OPERTAIVOS II;2
1951129;REDES DE COMPUTADORES;1
1951131;ECONOMÍA DE LA EMPRESA;2
1951132;CONTABILIDAD;1
19511F3;CONTABILIDAD FINANCIERA Y DE GESTIÓN;2
19511F4;DESARROLLO DE SOFTWARE DIRIGIDO A OBJETOS;2
19511F5;DISEÑO DE INTERFACES DE USUARIO;1
19511F6;DISEÑO Y EVALUACIÓN DE CONFIGURACIONES;2
19511F7;ENTORNOS DE DESARROLLO DE SOFTWARE;1
19511F9;GESTIÓN DE EMPRESAS;2
19511G2;INFORMÁTICA DOCUMENTAL;1
19511G4;LABORATORIO DE TRANSMISIÓN DE DATOS Y REDES;2
19511G5;LENGUAJES DE PROGRAMACIÓN;1
19511G9;OFIMÁTICA;1
19511H1;PERIFÉRICOS;2
19511H2;SISTEMAS DE AYUDA A LA DECISIÓN;2
19511H3;SEGURIDAD Y PRTOECCIÓN DE SISTEMAS INFORMÁTICOS;1
19511H5;SISTEMAS DE INFORMACIÓN EMPRESARIAL;2
19511H6;SISTEMAS DE INFORMACIÓN GEOGRÁFICA;2
19511H8;SISTEMAS INTELIGENTES DE GESTIÓN;2
19511H9;SISTEMAS MULTIMEDIA;1
19511I1;TÉCNICAS DE MODELIZACIÓN DE SISTEMAS;1
19611F1;AUDITORÍA INFORMÁTICA;1
19611F2;BASES DE DATOS DISTRIBUIDAS;2
1961116;FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA;1
19611G1;GESTIÓN DE SISTEMAS INFORMÁTICOS;1
19611G3;INFORMÁTICA INDUSTRIAL;2
19611G6;MANTENIMIENTO DE EQUIPOS INFORMÁTICOS;2
19611G7;MODELOS DE LA INTELIGENCIA ARTIFICIAL;1
19611G8;NUEVAS TECNOLOGÍAS DE PROGRAMACIÓN;1
1961128;SISTEMAS DE BASES DE DATOS;2
19611H7;SISTEMAS INFORMÁTICOS DISTRIBUIDOS;1
19611I2;TECNOLOGÍA DE CIRCUITOS DE CONMUTACIÓN;1
1961132;TRADUCTORES;2
1961111;ESTADÍSTICA;2
1961112;ESTRUCTURA DE DATOS;2
1961114;FUNDAMENTOS TECNOLÓGICOS DE LOS COMPUTADORES;2
1961115;TECNOLOGÍA DE LOS COMPUTADORES;2
1961116;FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA;1
1961117;ÁLGEBRA Y ESTRUCTURAS DISCRETAS;1
1961118;ANÁLISIS MATEMÁTICO;1
196111A;METODOLOGÍA DE LA PROGRAMACIÓN I;1
196111B;METODOLOGÍA DE LA PROGRAMACIÓN II;2
196111C;MATEMÁTICA DISCRETA;1
196111D;INTRODUCCIÓN A LOS COMPUTADORES;1
1961126;FUNDAMENTOS LÓGICOS DE LA PROGRAMACIÓN;2
1961119;CÁLCULO NUMÉRICO;0
1961121;BASES DE DATOS;0
1961122;ESTRUCTURA DE LOS COMPUTADORES;0
1961123;TEORÍA DE ALGORÍTMOS;0
1961124;SISTEMAS OPERATIVOS I;0
1961125;MODELOS DE COMPUTACIÓN;0
1961127;INGENIERÍA DEL SOFTWARE;0
1961128;SISTEMAS DE BASES DE DATOS;0
1961129;SISTEMAS OPERATIVOS II;0
1961131;REDES;1
1961132;TRADUCTORES;2
1961133;INSTRODUCCIÓN AL DISEÑO DE COMPUTADORES;1
19611F1;AUDITORÍA INFORMÁTICA;1
19611F2;BASES DE DATOS DISTRIBUIDAS;2
19611G1;GESTIÓN DE SISTEMAS INFORMÁTICOS;1
19611G3;INFORMÁTICA INDUSTRIAL;2
19611G6;MANTENIMIENTO DE EQUIPOS INFORMÁTICOS (virtual);2
19611G7;MODELOS DE LA INTELIGENCIA ARTIFICIAL;1
19611G8;NUEVAS TECNOLOGÍAS DE LA PROGRAMACIÓN;1
19611H7;SISTEMAS INFORMÁTICOS DISTRIBUIDOS;1
19611I2;TECNOLOGÍA DE CIRCUITOS DE CONMUTACIÓN;1
19611J1;AMPLIACIÓN DE INGENIERÍA DEL SOFTWARE;2
19611J2;ARQUITECTURA DE SISTEMAS BASADOS EN MICROPROCESADORES;2
19611J5;CODIFICACIÓN Y COMPRESIÓN DE DATOS;2
19611J6;DESARROLLO DE SISTEMAS EN TIEMPO REAL;2
19611K1;DISEÑO Y SIMULACIÓN DE SISTEMAS;2
19611K3;FUNDAMENTOS DE INFORMÁTICA GRÁFICA;2
19611L3;PROCESAMIENTO DIGITAL DE SEÑALES;1
19611L4;PROGRAMACIÓN CONCURRENTE;1
19511F4;DESARROLLO DE SOFTWARE DIRIGIDO A OBJETOS;2
19511F5;DISEÑO DE INTERFACES DE USUARIO;1
19511F6;DISEÑO Y EVALUACIÓN DE CONFIGURACIONES;2
19511F7;ENTORNOS DE DESARROLLO DE SOFTWARE;1
19511G4;LABORATORIO DE TRANSMISIÓN DE DATOS Y REDES;2
19511G5;LENGUAJES DE PROGRAMACIÓN;1
19511H1;PERIFÉRICOS;2
1951128;PROGRAMACIÓN DE BASES DE DATOS;2
19511H3;SEGURIDAD Y PROTECCIÓN DE SISTEMAS INFORMÁTICOS;1
19511H8;SISTEMAS INTELIGENTES DE GESTIÓN;2
19511H9;SISTEMAS MULTIMEDIA;1
19511I1;TÉCNICAS DE MODELIZACIÓN DE SISTEMAS;1
1811111;ESTADÍSTICA;2
1811112;ESTRUCTURAS DE DATOS;2
1811113;FUNDAMENTOS TECNOLÓGICOS DE LOS COMPUTADORES;2
1811114;TECNOLOGÍA DE LOS COMPUTADORES I;2
1811115;FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA;1
1811116;ÁLGEBRA Y ESTRUCTURAS FINITAS;1
1811117;ANÁLISIS MATEMÁTICO;1
1811119;METODOLOGÍA DE LA PROGRAMACIÓN I;1
181111A;FUNDAMENTOS LÓGICOS DE LA PROGRAMACIÓN ;2
181111B;INTRODUCCIÓN A LOS COMPUTADORES;1
181111C;MATEMÁTICA DISCRETA;1
181111D;METODOLOGÍA DE LA PROGRAMACIÓN II;2
1811119;CÁLCULO NUMÉRICO;2
1811121;BASES DE DATOS I;1
1811122;ESTRUCTURA DE LOS COMPUTADORES I;1
1811123;TEORÍA DE ALGORÍTMOS;1
1811124;SISTEMAS OPERATIVOS I;1
1811125;MODELOS DE COMPUTACIÓN I;1
1811126;MODELOS DE COMPUTACIÓN II;2
1811127;BASES DE DATOS II;2
1811128;ESTRUCTURA DE LOS COMPUTADORES II;2
1811129;SISTEMAS OPERTAIVOS II;2
181112A;TECNOLOGÍA DE LOS COMPUTADORES II;1
1811131;DESCRIPCIÓN DE LENGUAJES DE PROGRAMACIÓN;1
1811132;PROGRAMACIÓN DECLARATIVA;1
1811133;INGENIERÍA DEL SOFTWARE I;1
1811134;PROGRAMACIÓN CONCURRENTE;2
1811135;INGENIERÍA DEL CONOCIMIENTO;2
1811141;INGENIERÍA DEL SOFTWARE II;1
1811142;INGENIERÍA DEL SOFTWARE III;2
1811143;INTELIGENCIA ARTIFICIAL E INGENIERÍA DEL CONOCIMIENTO;1
1811144;PROCESADORES DE LENGUAJES;2
1811145;TRANSMISIÓN DE DATOS Y REDES DE COMPUTADORES I;1
1811146;TRANSMISIÓN DE DATOS Y REDES DE COMPUTADORES II;2
1811151;ARQUITECTURA DE COMPUTADORES I;1
1811152;ARQUITECTURA DE COMPUTADORES II;2
1811153;MODELOS DE INTELIGENCIA ARTIFICIAL;1
1811159;PROYECTOS INFORMÁTICOS;2
18111A2;ANÁLISIS NUMÉRICO (virtual);2
18111A5;CÁLCULO AVANZADO;1
18111B3;DISEÑO DE CIRCUITOS MICROELECTRÓNICOS;2
18111B5;DISEÑO Y CONTROL DE MODELOS;1
18111B6;FISICA APLICADA A LA TECNOLOGÍA DE COMPUTADORES;2
18111B7;GESTIÓN DE BASES DE DATOS;2
18111B8;IMPLEMENTACIÓN HARDWARE DE ALGORITMOS;1
18111B9;INFORMÁTICA GRÁFICA;2
18111C3;LÓGICA INFORMÁTICA;1
18111C5;MODELOS DE INFORMÁTICA TEÓRICA;2
18111C8;PROGRAMACIÓN DIRIGIDA A OBJETOS;1
18111D7;TEORÍA DE LA INFORMACIÓN Y CODIFICACIÓN;2
18111A1;ALGORÍTMICA;1
18111A7;CONTROLADORES LÓGICOS PROGRAMABLES;1
18111A8;CRIPTOGRAFÍA (Grupo C: inglés);2
18111B1;DISEÑO ASISTIDO POR COMPUTADORA;1
18111C4;MODELOS AVANZADOS DE BASES DE DATOS;2
18111C9;PROGRAMACIÓN DISTIRBUIDA Y PARALELA;1
18111D2;ROBÓTICA INDUSTRIAL;2
18111D4;SÍNTESIS AUTOMÁTICA DE ARQUTECTURAS VLSI;2
18111D5;SISTEMAS DE CONTROL DIGITAL;1
18111D9;VISIÓN ARTIFICIAL;1
18111E1;VISUALIZACIÓN Y REALISMO;2
18111A3;ARQUITECTURAS ESPECIALIZADAS;2
18111A4;BIOINFORMÁTICA;2
18111A6;CÁLCULO SIMBÓLICO;1
18111A9;DERECHO E INFORMÁTICA;2
18111B2;DISÑO AUTOMÁTICO DE SISTEMAS DIGITALES;1
18111B4;DISEÑO DE SISTEMAS OPERATIVOS;2
18111C1;INGENIERÍA DEL CONOCIMIENTO: AMPLIACIÓN;1
18111C2;INTERFACES SOFTWARE EN LENGUAJE NATURAL;2
18111C6;NEUROCOMPUTACIÓN;2
18111C7;PROCESAMIENTO DE LA VOZ;2
18111D1;RECONOCIMIENTO DE FORMAS;1
18111D3;SEMÁNTICA DE LENGUAJES Y PROGRAMACIÓN;1
18111D6;SISTEMAS DE INFORMACIÓN;1
18111D8;TEORÍA DE SEÑAL Y DE LA COMUNICACIÓN (virtual);1
